Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12430,42,1,256.4,3,New customer
12432,42,5,5059.32,2,Champions
12434,84,3,1103.43,0,Potential loyalists
12436,99,1,509.01,3,New customer
12438,13,2,2906.85,1,Loyal customers
12439,682,2,1142.88,0,Potential loyalists
12440,461,2,859.2,0,Potential loyalists
12441,366,1,173.55,4,Lost customer
12442,2,1,172.06,3,New customer
12443,731,1,485.31,4,Lost customer
12444,20,5,5005.46,2,Champions
12445,21,2,434.98,3,New customer
12446,57,1,1002.3100000000001,0,Potential loyalists
12447,242,1,476.49,3,New customer
12448,43,1,449.45,3,New customer
12449,21,6,4835.89,2,Champions
12450,155,5,688.2,0,Potential loyalists
12452,16,2,430.57,3,New customer
12453,133,1,707.09,0,Potential loyalists
12456,43,3,3181.04,1,Loyal customers
12457,65,8,2995.91,1,Loyal customers
12458,70,4,1777.49,5,At risk
12459,604,1,454.36,4,Lost customer
12460,455,1,326.65,4,Lost customer
12461,93,2,826.88,0,Potential loyalists
12462,18,2,1189.59,0,Potential loyalists
12463,52,4,1344.78,0,Potential loyalists
12464,9,8,1212.05,0,Potential loyalists
12465,16,2,742.1899999999999,0,Potential loyalists
12466,681,1,56.73,4,Lost customer
12467,422,1,132.8,4,Lost customer
12468,187,5,3670.74,2,Champions
12469,522,2,3070.54,1,Loyal customers
12470,689,1,211.95,4,Lost customer
12473,28,5,3928.0499999999997,2,Champions
12475,53,2,1149.64,0,Potential loyalists
12478,3,1,680.99,3,New customer
12479,10,1,527.2,3,New customer
12485,528,1,708.1,4,Lost customer
12486,431,1,1037.28,0,Potential loyalists
12487,730,1,285.29999999999995,4,Lost customer
12488,9,3,1298.66,0,Potential loyalists
12489,335,1,334.93,4,Lost customer
12491,38,1,460.40000000000003,3,New customer
12492,62,3,715.21,0,Potential loyalists
12493,165,2,433.74,3,New customer
12494,15,9,1815.27,5,At risk
12495,640,1,357.4,4,Lost customer
12496,619,2,45.34,4,Lost customer
12498,20,3,403.70000000000005,3,New customer
12499,559,1,393.72,4,Lost customer
12501,336,1,2169.39,5,At risk
12502,95,5,3723.87,2,Champions
12503,583,1,1126.0,0,Potential loyalists
12504,17,4,779.05,0,Potential loyalists
12505,408,1,955.2,0,Potential loyalists
12506,232,1,73.5,3,New customer
12507,133,4,1844.06,5,At risk
12508,25,2,397.88,3,New customer
12509,283,1,176.5,4,Lost customer
12511,428,1,3084.02,1,Loyal customers
12512,65,2,132.18,3,New customer
12513,112,1,612.29,3,New customer
12514,266,2,1597.76,5,At risk
12515,352,1,383.7,4,Lost customer
12516,77,4,2648.62,1,Loyal customers
12517,27,5,2481.6,1,Loyal customers
12518,0,5,2056.89,5,At risk
12519,63,2,716.54,0,Potential loyalists
12520,78,5,2634.26,1,Loyal customers
12521,142,1,599.68,3,New customer
12522,38,2,192.72,3,New customer
12525,497,3,973.73,0,Potential loyalists
12526,0,3,1316.66,0,Potential loyalists
12527,81,5,735.51,0,Potential loyalists
12528,8,6,1933.48,5,At risk
12529,527,1,316.48,4,Lost customer
12530,59,9,3759.26,2,Champions
12531,14,2,1933.2,5,At risk
12532,29,1,349.83000000000004,3,New customer
12533,627,2,1367.89,0,Potential loyalists
12534,130,1,1089.18,0,Potential loyalists
12535,91,2,716.35,0,Potential loyalists
12537,408,1,732.94,0,Potential loyalists
12538,28,2,640.45,3,New customer
12541,29,3,981.18,0,Potential loyalists
12542,483,2,481.88,4,Lost customer
12543,447,1,980.25,0,Potential loyalists
12544,35,1,372.7,3,New customer
12545,74,2,1000.39,0,Potential loyalists
12546,46,2,1161.5,0,Potential loyalists
12547,197,3,383.58,3,New customer
12548,165,1,95.19999999999999,3,New customer
12549,575,6,1575.68,5,At risk
12550,78,1,964.83,0,Potential loyalists
12551,357,1,168.0,4,Lost customer
12552,38,2,437.82,3,New customer
12554,448,1,468.5,4,Lost customer
12555,681,1,129.23,4,Lost customer
12556,49,2,599.56,3,New customer
12558,7,1,269.96,3,New customer
12559,310,2,561.71,3,New customer
12560,4,3,2134.01,5,At risk
12561,302,1,238.85,4,Lost customer
12562,7,9,4966.92,2,Champions
12563,408,1,249.24,4,Lost customer
12564,260,1,456.9,3,New customer
12565,288,1,145.92,4,Lost customer
12566,85,1,351.65,3,New customer
12568,644,1,70.0,4,Lost customer
12570,681,1,77.52,4,Lost customer
12571,39,2,519.61,3,New customer
12572,8,2,1020.42,0,Potential loyalists
12573,226,5,717.41,0,Potential loyalists
12574,315,1,218.45,4,Lost customer
12575,456,2,622.8199999999999,4,Lost customer
12576,35,8,2142.72,5,At risk
12577,34,8,1617.1,5,At risk
12578,20,4,4642.45,2,Champions
12579,77,1,440.42,3,New customer
12580,246,2,1052.9,0,Potential loyalists
12581,39,1,197.71,3,New customer
12582,238,4,1980.4,5,At risk
12584,3,9,2338.15,5,At risk
12585,233,2,2040.1,5,At risk
12586,16,4,2062.67,5,At risk
12587,7,1,144.0,3,New customer
12588,38,4,958.78,0,Potential loyalists
12589,28,8,4695.66,2,Champions
12591,316,3,1338.95,0,Potential loyalists
12592,91,5,2582.66,1,Loyal customers
12593,108,3,418.09999999999997,3,New customer
12595,504,1,299.02,4,Lost customer
12596,50,2,618.27,3,New customer
12597,18,4,3811.22,2,Champions
12598,9,11,4534.09,2,Champions
12601,189,6,681.26,0,Potential loyalists
12602,58,1,153.12,3,New customer
12603,21,1,739.1999999999999,0,Potential loyalists
12604,78,2,254.18,3,New customer
12605,375,4,1232.95,0,Potential loyalists
12606,681,1,21.0,4,Lost customer
12607,59,1,1579.51,5,At risk
12608,404,1,415.79,4,Lost customer
12609,77,9,3435.86,1,Loyal customers
12610,22,5,2099.54,5,At risk
12611,51,1,1193.32,0,Potential loyalists
12612,73,1,704.0400000000001,0,Potential loyalists
12614,277,1,315.6,3,New customer
12616,94,3,1131.1,0,Potential loyalists
12617,28,1,352.98,3,New customer
12618,21,1,177.31,3,New customer
12619,15,10,3781.38,2,Champions
12620,14,3,1339.41,0,Potential loyalists
12622,231,1,180.1,3,New customer
12623,275,7,3747.84,2,Champions
12624,105,2,641.13,3,New customer
12627,10,7,4478.53,2,Champions
12628,3,3,786.46,0,Potential loyalists
12629,385,2,1558.22,5,At risk
12630,9,2,1270.88,0,Potential loyalists
12631,56,6,3481.57,1,Loyal customers
12632,520,2,804.88,0,Potential loyalists
12634,535,2,490.0,4,Lost customer
12635,89,4,2930.41,1,Loyal customers
12636,738,1,141.0,4,Lost customer
12638,32,2,921.49,0,Potential loyalists
12639,238,3,1312.37,0,Potential loyalists
12640,23,3,1174.58,0,Potential loyalists
12641,114,1,185.9,3,New customer
12642,24,3,1013.26,0,Potential loyalists
12644,129,4,1918.49,5,At risk
12645,33,8,3539.3,2,Champions
12646,4,2,1346.97,0,Potential loyalists
12648,154,4,1112.0,0,Potential loyalists
12649,106,8,2294.65,5,At risk
12650,2,1,314.44,3,New customer
12651,334,4,377.75,4,Lost customer
12652,330,2,1017.03,0,Potential loyalists
12653,148,3,4160.83,2,Champions
12654,10,5,601.98,3,New customer
12655,423,1,261.35,4,Lost customer
12657,10,4,1643.18,5,At risk
12658,18,1,686.05,3,New customer
12659,29,1,91.68,3,New customer
12660,10,1,245.1,3,New customer
12661,435,1,162.0,4,Lost customer
12663,624,2,239.4,4,Lost customer
12665,324,3,313.6,4,Lost customer
12666,393,1,1248.42,0,Potential loyalists
12667,57,1,620.13,3,New customer
12669,150,3,2744.0299999999997,1,Loyal customers
12670,9,7,3760.29,2,Champions
12671,605,1,2622.481,1,Loyal customers
12672,329,2,437.05,3,New customer
12673,4,3,1230.02,0,Potential loyalists
12674,38,4,1970.6,5,At risk
12675,553,2,957.25,0,Potential loyalists
12676,24,11,2843.09,1,Loyal customers
12677,554,2,395.1,4,Lost customer
12679,58,4,1113.02,0,Potential loyalists
12680,0,4,880.81,0,Potential loyalists
12684,7,7,2283.63,5,At risk
12685,27,6,2863.08,1,Loyal customers
12686,371,1,89.14,4,Lost customer
12687,480,2,2138.91,5,At risk
12688,113,1,4873.8099999999995,2,Champions
12689,25,2,1247.61,0,Potential loyalists
12690,205,1,389.01,3,New customer
12691,27,7,1170.4,0,Potential loyalists
12692,636,1,110.95,4,Lost customer
12693,126,7,1703.02,5,At risk
12694,69,3,1843.35,5,At risk
12695,6,7,1407.1200000000001,5,At risk
12696,434,2,851.91,0,Potential loyalists
12697,28,3,957.59,0,Potential loyalists
12698,589,1,339.75,4,Lost customer
12699,417,1,638.11,4,Lost customer
12700,7,4,4939.99,2,Champions
12701,79,6,2446.41,1,Loyal customers
12702,19,1,219.0,3,New customer
12703,70,4,1006.53,0,Potential loyalists
12704,6,8,2340.84,5,At risk
12707,291,1,603.42,3,New customer
12710,96,3,1149.02,0,Potential loyalists
12711,611,2,1339.05,0,Potential loyalists
12713,0,1,848.55,0,Potential loyalists
12715,105,1,343.36,3,New customer
12716,3,2,1053.49,0,Potential loyalists
12717,150,3,1308.91,0,Potential loyalists
12718,70,1,238.25,3,New customer
12719,4,2,644.95,3,New customer
12721,31,8,4013.08,2,Champions
12722,84,4,997.63,0,Potential loyalists
12723,3,5,725.07,0,Potential loyalists
12724,4,7,2317.52,5,At risk
12725,370,4,2266.76,5,At risk
12726,27,11,4014.6,2,Champions
12728,70,5,1070.17,0,Potential loyalists
12729,113,1,453.01,3,New customer
12730,521,1,829.25,0,Potential loyalists
12732,179,1,236.26000000000002,3,New customer
12733,233,4,2424.87,1,Loyal customers
12734,352,3,639.65,3,New customer
12735,314,2,779.5699999999999,0,Potential loyalists
12736,332,1,234.0,4,Lost customer
12737,498,2,3710.5,2,Champions
12738,371,1,155.35,4,Lost customer
12739,77,4,2726.73,1,Loyal customers
12740,63,1,427.6,3,New customer
12741,528,2,406.07,4,Lost customer
12742,625,1,1201.52,0,Potential loyalists
12743,133,2,540.13,3,New customer
12745,486,3,925.41,0,Potential loyalists
12746,540,1,254.55,4,Lost customer
12750,128,1,275.88,3,New customer
12751,444,1,268.27,4,Lost customer
12752,80,1,4366.78,2,Champions
12754,235,3,3010.74,1,Loyal customers
12756,86,1,112.07999999999998,3,New customer
12759,51,8,5020.74,2,Champions
12760,455,1,347.8,4,Lost customer
12761,457,2,782.95,0,Potential loyalists
12762,7,2,1898.52,5,At risk
12763,137,2,494.08,3,New customer
12764,316,1,1693.88,5,At risk
12765,471,6,1404.58,0,Potential loyalists
12767,375,1,949.82,0,Potential loyalists
12768,450,1,168.69000000000003,4,Lost customer
12769,238,1,1143.6,0,Potential loyalists
12770,210,2,3246.45,1,Loyal customers
12771,485,1,282.3,4,Lost customer
12772,59,1,892.47,0,Potential loyalists
12773,563,1,124.25,4,Lost customer
12774,535,1,98.7,4,Lost customer
12775,16,7,1686.12,5,At risk
12776,667,1,55.5,4,Lost customer
12777,457,1,519.45,4,Lost customer
12778,19,9,1775.68,5,At risk
12780,598,1,337.4,4,Lost customer
12781,63,2,826.74,0,Potential loyalists
12782,4,11,4618.24,2,Champions
12783,1,6,2225.91,5,At risk
12784,8,3,1763.15,5,At risk
12785,363,3,1100.4,0,Potential loyalists
12786,609,1,728.5,4,Lost customer
12787,9,4,862.18,0,Potential loyalists
12788,462,4,444.9,4,Lost customer
12789,64,3,273.35,3,New customer
12790,191,2,591.85,3,New customer
12791,373,6,863.51,0,Potential loyalists
12792,256,2,827.01,0,Potential loyalists
12793,334,3,885.53,0,Potential loyalists
12794,52,2,860.41,0,Potential loyalists
12795,18,1,430.48,3,New customer
12796,627,1,381.0,4,Lost customer
12797,365,2,552.08,4,Lost customer
12799,528,1,219.35,4,Lost customer
12800,469,3,584.25,4,Lost customer
12801,500,1,1071.82,0,Potential loyalists
12802,186,7,2416.42,1,Loyal customers
12803,392,1,1092.81,0,Potential loyalists
12804,465,2,325.37,4,Lost customer
12805,381,4,1434.95,5,At risk
12806,434,4,2878.96,1,Loyal customers
12807,382,1,330.35,4,Lost customer
12808,36,5,776.7,0,Potential loyalists
12809,177,3,1755.94,5,At risk
12810,534,2,534.99,4,Lost customer
12811,260,5,1033.9,0,Potential loyalists
12812,44,1,229.64000000000001,3,New customer
12813,501,3,1687.8,5,At risk
12814,101,1,125.92,3,New customer
12815,147,2,1063.46,0,Potential loyalists
12816,95,2,572.2,3,New customer
12817,280,3,690.98,0,Potential loyalists
12818,261,1,1542.08,5,At risk
12819,457,1,540.52,4,Lost customer
12820,2,11,2689.52,1,Loyal customers
12821,213,2,220.8,3,New customer
12822,70,2,948.88,0,Potential loyalists
12824,59,1,397.12,3,New customer
12825,520,2,518.63,4,Lost customer
12827,5,3,430.15000000000003,3,New customer
12828,2,6,1018.71,0,Potential loyalists
12829,336,3,385.3,4,Lost customer
12831,261,3,451.11,3,New customer
12832,31,2,383.03,3,New customer
12833,144,1,417.38,3,New customer
12834,282,1,312.38,3,New customer
12837,172,2,662.66,3,New customer
12838,33,10,2975.91,1,Loyal customers
12840,143,7,4041.97,2,Champions
12842,69,4,1917.99,5,At risk
12844,28,4,648.6,3,New customer
12845,266,4,354.09,3,New customer
12846,681,1,15.58,4,Lost customer
12847,21,2,1609.0,5,At risk
12848,675,1,208.0,4,Lost customer
12849,30,6,3042.47,1,Loyal customers
12850,445,1,330.0,4,Lost customer
12851,96,2,280.76,3,New customer
12852,294,1,311.55,3,New customer
12853,134,11,3907.5,2,Champions
12854,78,7,2970.9700000000003,1,Loyal customers
12855,372,4,612.84,4,Lost customer
12856,7,6,2170.78,5,At risk
12857,210,6,3688.0,2,Champions
12858,382,1,147.27,4,Lost customer
12859,458,1,575.1,4,Lost customer
12860,692,1,54.22,4,Lost customer
12861,619,1,68.25,4,Lost customer
12862,425,2,984.62,0,Potential loyalists
12863,51,6,2792.5499999999997,1,Loyal customers
12864,137,2,299.57,3,New customer
12865,25,4,3323.47,1,Loyal customers
12866,282,3,1227.35,0,Potential loyalists
12868,185,8,2043.76,5,At risk
12869,681,1,337.66999999999996,4,Lost customer
12870,374,3,1676.95,5,At risk
12871,83,3,744.02,0,Potential loyalists
12873,281,3,2027.3,5,At risk
12874,384,2,948.42,0,Potential loyalists
12875,142,5,1356.99,0,Potential loyalists
12876,57,4,4081.79,2,Champions
12878,235,2,854.99,0,Potential loyalists
12879,44,3,573.22,3,New customer
12880,381,2,640.13,4,Lost customer
12881,275,1,298.0,3,New customer
12882,8,2,1463.04,5,At risk
12883,24,4,703.47,0,Potential loyalists
12884,87,1,309.05,3,New customer
12885,62,3,1175.22,0,Potential loyalists
12886,67,2,1378.4,0,Potential loyalists
12887,383,1,222.4,4,Lost customer
12888,213,2,354.12,3,New customer
12889,380,4,385.46000000000004,4,Lost customer
12890,23,2,706.02,0,Potential loyalists
12891,185,11,840.5,0,Potential loyalists
12892,396,1,263.38,4,Lost customer
12893,30,1,176.55,3,New customer
12894,574,1,157.35,4,Lost customer
12895,41,2,372.8,3,New customer
12897,204,4,514.25,3,New customer
12898,463,2,296.21000000000004,4,Lost customer
12899,413,1,366.4,4,Lost customer
12900,421,1,340.33,4,Lost customer
12902,264,1,138.68,4,Lost customer
12903,428,1,833.53,0,Potential loyalists
12904,17,2,496.06,3,New customer
12905,576,2,1018.42,0,Potential loyalists
12906,11,5,2919.81,1,Loyal customers
12907,395,2,508.91,4,Lost customer
12908,175,5,1776.0,5,At risk
12909,39,8,3103.19,1,Loyal customers
12911,551,1,1651.72,5,At risk
12912,2,5,1662.3,5,At risk
12914,400,1,223.98,4,Lost customer
12915,148,4,975.1,0,Potential loyalists
12916,138,7,4479.73,2,Champions
12917,127,6,4359.2,2,Champions
12919,7,6,1335.19,0,Potential loyalists
12920,16,4,486.64,3,New customer
12922,160,1,405.38,3,New customer
12923,63,3,770.42,0,Potential loyalists
12925,4,3,729.3299999999999,0,Potential loyalists
12926,410,4,1523.97,5,At risk
12927,394,1,197.31,4,Lost customer
12929,311,1,117.85,4,Lost customer
12930,77,2,415.8,3,New customer
12932,538,8,1698.56,5,At risk
12933,23,8,1636.6299999999999,5,At risk
12934,736,1,181.65,4,Lost customer
12936,16,4,1063.9,0,Potential loyalists
12937,14,9,3097.61,1,Loyal customers
12938,25,1,114.14,3,New customer
12940,54,2,899.69,0,Potential loyalists
12941,723,1,377.49,4,Lost customer
12942,130,3,675.6,3,New customer
12943,557,2,496.5,4,Lost customer
12944,35,2,604.51,3,New customer
12945,287,2,900.11,0,Potential loyalists
12946,436,1,324.45,4,Lost customer
12947,143,6,1603.99,5,At risk
12948,15,9,2317.43,5,At risk
12950,1,3,1843.0,5,At risk
12952,5,4,1387.79,0,Potential loyalists
12953,9,2,828.8100000000001,0,Potential loyalists
12954,638,1,162.45,4,Lost customer
12955,0,11,4757.16,2,Champions
12956,305,4,521.89,3,New customer
12958,399,2,467.34,4,Lost customer
12959,483,1,150.95,4,Lost customer
12960,413,4,1322.07,0,Potential loyalists
12961,378,1,211.99,4,Lost customer
12962,6,2,266.39,3,New customer
12964,436,1,132.24,4,Lost customer
12965,88,1,769.8100000000001,0,Potential loyalists
12966,9,1,160.18,3,New customer
12967,357,3,2938.52,1,Loyal customers
12968,111,1,135.95,3,New customer
12969,602,1,122.45,4,Lost customer
12970,6,10,1453.6,5,At risk
12972,413,4,1161.2,0,Potential loyalists
12973,413,1,385.55,4,Lost customer
12974,197,2,408.95,3,New customer
12975,436,6,2100.09,5,At risk
12976,211,8,3156.38,1,Loyal customers
12977,155,4,513.88,3,New customer
12978,384,5,2502.82,1,Loyal customers
12979,728,1,517.7,4,Lost customer
12981,29,2,372.21999999999997,3,New customer
12982,242,8,2744.81,1,Loyal customers
12983,597,1,490.08000000000004,4,Lost customer
12984,18,1,97.5,3,New customer
12985,0,2,1239.38,0,Potential loyalists
12986,428,10,2729.84,1,Loyal customers
12987,73,5,1312.21,0,Potential loyalists
12988,291,1,505.82,3,New customer
12990,30,7,955.5,0,Potential loyalists
12991,22,3,764.82,0,Potential loyalists
12992,724,1,93.35000000000001,4,Lost customer
12993,22,8,1259.6299999999999,0,Potential loyalists
12994,3,3,974.4200000000001,0,Potential loyalists
12995,84,1,211.32,3,New customer
12996,375,1,355.5,4,Lost customer
12997,21,8,2110.91,5,At risk
12998,492,3,920.08,0,Potential loyalists
12999,195,3,455.88,3,New customer
13000,106,4,1032.5,0,Potential loyalists
13002,317,3,414.13,3,New customer
13003,105,3,149.05,3,New customer
13005,173,4,999.68,0,Potential loyalists
13006,55,1,81.57,3,New customer
13007,579,1,175.25,4,Lost customer
13008,322,3,612.13,3,New customer
13009,672,1,234.0,4,Lost customer
13010,373,2,330.12,4,Lost customer
13011,371,1,50.550000000000004,4,Lost customer
13012,8,11,2957.83,1,Loyal customers
13016,72,3,789.89,0,Potential loyalists
13017,6,1,204.0,3,New customer
13019,378,6,1229.95,0,Potential loyalists
13020,562,2,618.96,4,Lost customer
13022,429,1,65.3,4,Lost customer
13023,63,3,1449.03,5,At risk
13024,470,2,555.87,4,Lost customer
13025,731,1,323.39,4,Lost customer
13026,0,9,1733.08,5,At risk
13028,22,2,661.3199999999999,3,New customer
13029,30,5,1927.3,5,At risk
13030,10,2,752.4399999999999,0,Potential loyalists
13031,406,5,3292.84,1,Loyal customers
13032,51,9,2815.96,1,Loyal customers
13033,356,2,220.55,4,Lost customer
13034,54,3,756.82,0,Potential loyalists
13035,73,3,1364.2,0,Potential loyalists
13036,684,1,307.1,4,Lost customer
13038,79,3,908.46,0,Potential loyalists
13039,583,4,1010.73,0,Potential loyalists
13040,8,2,676.99,3,New customer
13041,450,4,799.13,0,Potential loyalists
13042,597,3,1488.59,5,At risk
13043,272,1,516.42,3,New customer
13044,290,11,4848.05,2,Champions
13045,98,3,808.92,0,Potential loyalists
13046,30,3,949.25,0,Potential loyalists
13048,13,9,4049.13,2,Champions
13049,63,4,1408.24,0,Potential loyalists
13051,578,2,155.8,4,Lost customer
13052,211,7,3119.33,1,Loyal customers
13053,621,1,127.65,4,Lost customer
13055,77,4,2321.11,5,At risk
13056,550,1,209.48,4,Lost customer
13057,529,3,709.59,4,Lost customer
13058,24,3,271.40000000000003,3,New customer
13059,249,10,2291.77,5,At risk
13060,253,1,307.53,3,New customer
13061,71,1,248.61,3,New customer
13062,190,1,346.98,3,New customer
13063,480,1,188.4,4,Lost customer
13064,12,6,1666.8400000000001,5,At risk
13065,372,5,1055.05,0,Potential loyalists
13066,23,2,470.8,3,New customer
13067,81,3,508.51,3,New customer
13068,9,2,344.0,3,New customer
13070,191,4,751.7,0,Potential loyalists
13071,611,1,129.22,4,Lost customer
13072,266,1,177.15,3,New customer
13073,410,2,418.08,4,Lost customer
13074,510,4,1378.74,0,Potential loyalists
13075,129,1,919.61,0,Potential loyalists
13076,457,1,135.4,4,Lost customer
13077,0,11,2740.65,1,Loyal customers
13079,3,6,419.18,3,New customer
13080,178,4,280.73,3,New customer
13083,3,3,395.43,3,New customer
13084,491,1,122.39999999999999,4,Lost customer
13085,157,8,2433.28,1,Loyal customers
13086,382,1,439.33000000000004,4,Lost customer
13087,725,1,313.64,4,Lost customer
13088,416,1,236.11,4,Lost customer
13091,27,3,2321.82,5,At risk
13095,70,1,74.39999999999999,3,New customer
13096,393,1,419.70000000000005,4,Lost customer
13099,98,1,207.35999999999999,3,New customer
13101,233,4,695.4,0,Potential loyalists
13103,39,3,709.64,0,Potential loyalists
13104,2,9,1709.1,5,At risk
13105,435,1,72.0,4,Lost customer
13106,132,2,603.46,3,New customer
13108,372,2,748.46,0,Potential loyalists
13109,59,3,1134.03,0,Potential loyalists
13111,718,1,321.88000000000005,4,Lost customer
13112,540,1,20.6,4,Lost customer
13114,730,1,234.38,4,Lost customer
13116,137,1,501.14,3,New customer
13118,19,9,2415.41,1,Loyal customers
13119,668,1,134.9,4,Lost customer
13120,238,1,30.599999999999998,4,Lost customer
13121,268,1,283.73,3,New customer
13122,93,2,922.39,0,Potential loyalists
13123,472,2,506.75,4,Lost customer
13124,89,4,4641.66,2,Champions
13125,523,1,148.62,4,Lost customer
13127,77,1,259.17,3,New customer
13128,630,1,263.5,4,Lost customer
13129,451,2,233.25,4,Lost customer
13130,93,1,64.0,3,New customer
13131,22,7,3313.77,1,Loyal customers
13132,261,1,77.3,4,Lost customer
13133,273,3,200.45000000000002,3,New customer
13134,85,6,2475.23,1,Loyal customers
13135,196,2,3371.45,1,Loyal customers
13138,21,7,1274.01,0,Potential loyalists
13140,107,5,1054.92,0,Potential loyalists
13142,18,1,307.09,3,New customer
13143,584,1,405.1,4,Lost customer
13144,332,2,135.35,4,Lost customer
13145,39,7,1128.52,0,Potential loyalists
13146,25,1,228.91,3,New customer
13147,9,4,712.8000000000001,0,Potential loyalists
13149,13,4,1676.06,5,At risk
13150,483,3,449.96999999999997,4,Lost customer
13151,295,3,2465.21,1,Loyal customers
13152,416,7,2146.38,5,At risk
13153,5,1,486.22,3,New customer
13154,398,3,1624.84,5,At risk
13155,32,6,1370.48,0,Potential loyalists
13156,384,3,1586.54,5,At risk
13158,94,5,1508.18,5,At risk
13159,8,4,1429.35,5,At risk
13160,21,1,91.8,3,New customer
13161,312,2,472.13,3,New customer
13163,609,1,17.65,4,Lost customer
13164,568,2,372.2,4,Lost customer
13165,45,3,1451.16,5,At risk
13166,282,2,875.93,0,Potential loyalists
13167,18,5,1125.15,0,Potential loyalists
13168,35,5,1840.73,5,At risk
13169,63,3,840.08,0,Potential loyalists
13170,26,1,108.81,3,New customer
13171,21,3,468.41,3,New customer
13172,399,1,69.6,4,Lost customer
13173,3,11,2399.82,1,Loyal customers
13175,581,2,831.45,0,Potential loyalists
13176,45,1,481.49,3,New customer
13177,64,2,512.2,3,New customer
13179,618,1,572.3100000000001,4,Lost customer
13180,606,1,86.10000000000001,4,Lost customer
13181,380,1,359.69,4,Lost customer
13182,44,1,121.18,3,New customer
13184,14,10,1668.95,5,At risk
13185,267,1,71.4,4,Lost customer
13186,39,3,1575.89,5,At risk
13187,336,4,341.36,4,Lost customer
13188,10,1,114.60000000000001,3,New customer
13189,18,2,260.68,3,New customer
13190,543,3,570.66,4,Lost customer
13191,657,1,164.69,4,Lost customer
13192,94,6,2558.58,1,Loyal customers
13193,60,1,112.08,3,New customer
13194,135,2,472.78,3,New customer
13195,413,1,136.73,4,Lost customer
13196,10,7,3068.84,1,Loyal customers
13197,609,1,373.01000000000005,4,Lost customer
13198,9,8,4974.2300000000005,2,Champions
13200,18,4,870.09,0,Potential loyalists
13201,501,4,1233.06,0,Potential loyalists
13202,393,7,1580.3,5,At risk
13203,9,10,2648.25,1,Loyal customers
13204,730,1,966.6600000000001,0,Potential loyalists
13205,442,1,2803.2,1,Loyal customers
13207,14,4,535.86,3,New customer
13208,58,9,1976.3,5,At risk
13210,93,1,353.48,3,New customer
13211,9,10,2618.77,1,Loyal customers
13212,19,3,786.83,0,Potential loyalists
13213,56,11,3851.52,2,Champions
13214,417,7,3264.23,1,Loyal customers
13215,401,1,81.6,4,Lost customer
13216,267,1,333.74,3,New customer
13217,121,4,666.48,3,New customer
13218,126,1,62.63999999999999,3,New customer
13219,617,1,76.23,4,Lost customer
13220,77,5,1336.0900000000001,0,Potential loyalists
